"Date","week.number","Species","Type","Alive","Latitude","Longitude"
"2010-06-28",27,"Chelonia mydas","turtles","Y",30.23488,-85.90698
"2010-06-30",27,"Chelonia mydas","turtles","N",30.1297,-85.7242
"2010-07-12",29,"Chelonia mydas","turtles","Y",30.346239,-87.285679
"2010-07-12",29,"Caretta caretta","turtles","N",30.05625,-85.60641
"2010-07-15",29,"Lepidochelys kempii","turtles","N",30.15885,-85.66962
"2010-07-18",29,"Chelonia mydas","turtles","N",30.162628,-85.728664
"2010-07-24",30,"Lepidochelys kempii","turtles","N",30.28481,-87.49405
"2010-07-26",31,"Caretta caretta","turtles","N",29.73789,-85.39606
"2010-07-29",31,"Caretta caretta","turtles","Y",30.33237,-87.318175
"2010-07-31",31,"Lepidochelys kempii","turtles","N",29.87971,-85.35271
"2010-08-06",32,"Caretta caretta","turtles","N",30.39678,-86.63408
"2010-08-10",33,"Caretta caretta","turtles","N",30.12462,-85.70582
"2010-09-08",37,"Lepidochelys kempii","turtles","N",29.60083,-84.9969
"2010-05-01",18,"Unknown","turtles","N",29.17027,-90.08316
"2010-05-01",18,"Lepidochelys kempii","turtles","N",29.18166,-90.06428
"2010-05-03",19,"Lepidochelys kempii","turtles","N",30.13447,-89.50054
"2010-05-03",19,"Lepidochelys kempii","turtles","N",29.21231,-90.02593
"2010-05-05",19,"Chelonia mydas","turtles","N",29.17235,-90.07981
"2010-05-07",19,"Lepidochelys kempii","turtles","N",29.76692,-93.16193
"2010-05-07",19,"Lepidochelys kempii","turtles","N",29.76879,-93.17164
"2010-05-07",19,"Lepidochelys kempii","turtles","N",29.76972,-93.17667
"2010-05-07",19,"Lepidochelys kempii","turtles","N",29.77171,-93.18671
"2010-05-07",19,"Lepidochelys kempii","turtles","N",29.7732,-93.19467
"2010-05-07",19,"Lepidochelys kempii","turtles","N",29.77341,-93.19683
"2010-05-07",19,"Caretta caretta","turtles","N",29.77354,-93.19756
"2010-05-07",19,"Lepidochelys kempii","turtles","N",29.77576,-93.21589
"2010-05-07",19,"Lepidochelys kempii","turtles","N",29.77738,-93.2461
"2010-05-07",19,"Lepidochelys kempii","turtles","N",29.77728,-93.25497
"2010-05-07",19,"Lepidochelys kempii","turtles","N",29.77728,-93.25497
"2010-05-07",19,"Lepidochelys kempii","turtles","N",29.76578,-93.15643
"2010-05-07",19,"Lepidochelys kempii","turtles","N",29.76119,-93.13665
"2010-05-07",19,"Lepidochelys kempii","turtles","N",29.75513,-93.11017
"2010-05-07",19,"Caretta caretta","turtles","N",30.1588,-89.6505
"2010-05-10",20,"Unknown","turtles","N",29.18184,-90.06364
"2010-05-10",20,"Unknown","turtles","N",29.20786,-90.03112
"2010-05-10",20,"Lepidochelys kempii","turtles","N",29.76897,-93.4392
"2010-05-10",20,"Lepidochelys kempii","turtles","N",29.76879,-93.43438
"2010-05-10",20,"Lepidochelys kempii","turtles","N",29.76922,-93.45638
"2010-05-10",20,"Lepidochelys kempii","turtles","N",29.76897,-93.48772
"2010-05-10",20,"Lepidochelys kempii","turtles","N",29.76771,-93.50714
"2010-05-10",20,"Lepidochelys kempii","turtles","N",29.76031,-93.56936
"2010-05-11",20,"Lepidochelys kempii","turtles","N",29.11988,-90.16253
"2010-05-11",20,"Lepidochelys kempii","turtles","N",29.16567,-90.09297
"2010-05-12",20,"Lepidochelys kempii","turtles","N",29.74595,-93.68512
"2010-05-12",20,"Lepidochelys kempii","turtles","N",29.74582,-93.68592
"2010-05-12",20,"Lepidochelys kempii","turtles","Y",29.7423,-93.70653
"2010-05-12",20,"Lepidochelys kempii","turtles","N",29.20917,-90.02917
"2010-05-13",20,"Lepidochelys kempii","turtles","N",29.209166,-90.029166
"2010-05-13",20,"Lepidochelys kempii","turtles","N",29.28435,-89.92149
"2010-05-13",20,"Unknown","turtles","N",29.74232,-93.7065
"2010-05-13",20,"Lepidochelys kempii","turtles","N",29.76391,-93.36438
"2010-05-14",20,"Lepidochelys kempii","turtles","Y",29.7424,-93.7062
"2010-05-16",20,"Lepidochelys kempii","turtles","N",29.7534,-93.6293
"2010-05-16",20,"Lepidochelys kempii","turtles","N",29.7509,-93.6492
"2010-05-16",20,"Lepidochelys kempii","turtles","N",29.7396,-93.7208
"2010-05-16",20,"Lepidochelys kempii","turtles","N",29.7605,-93.5674
"2010-05-16",20,"Caretta caretta","turtles","N",29.7683,-93.5018
"2010-05-16",20,"Lepidochelys kempii","turtles","N",29.7689,-93.441
"2010-05-16",20,"Lepidochelys kempii","turtles","N",29.7555,-93.1114
"2010-05-16",20,"Lepidochelys kempii","turtles","N",29.7513,-93.0941
"2010-05-16",20,"Lepidochelys kempii","turtles","N",29.7498,-93.0873
"2010-05-17",21,"Lepidochelys kempii","turtles","N",29.24544,-89.99017
"2010-05-17",21,"Lepidochelys kempii","turtles","N",30.205,-90.11194
"2010-05-18",21,"Lepidochelys kempii","turtles","N",29.09,-90.21566
"2010-05-19",21,"Lepidochelys kempii","turtles","N",29.29201,-90.59606
"2010-05-20",21,"Unknown","turtles","N",30.0038,-89.2063
"2010-05-22",21,"Lepidochelys kempii","turtles","N",29.25062,-89.95774
"2010-05-22",21,"Lepidochelys kempii","turtles","N",29.25412,-89.60345
"2010-05-24",22,"Lepidochelys kempii","turtles","N",29.27883,-90.60933
"2010-05-24",22,"Lepidochelys kempii","turtles","N",29.34171,-90.45657
"2010-05-25",22,"Lepidochelys kempii","turtles","N",29.2386,-89.53792
"2010-05-25",22,"Lepidochelys kempii","turtles","N",29.2569,-89.95292
"2010-05-25",22,"Unknown","turtles","N",29.30522,-89.9575
"2010-05-26",22,"Lepidochelys kempii","turtles","N",29.32386,-90.45065
"2010-05-26",22,"Lepidochelys kempii","turtles","N",29.32143,-90.45219
"2010-05-26",22,"Lepidochelys kempii","turtles","N",29.30844,-90.46661
"2010-05-27",22,"Lepidochelys kempii","turtles","N",29.21192,-90.02592
"2010-05-28",22,"Lepidochelys kempii","turtles","Y",28.4375,-89.8958
"2010-05-31",23,"Lepidochelys kempii","turtles","Y",28.9932,-89.8412
"2010-06-07",24,"Lepidochelys kempii","turtles","N",29.30722,-89.90078
